id,room,education,nationality,occupation,cause,hometown,record
4079,0,80,1,9,04010300,340000,117
1059,6,30,1,99,05010300,310000,91
2473,5,70,1,9,06015300,310000,49
1698,2,30,1,9,03041100,340000,134
1918,2,41,1,99,06080101,411025,118
2503,9,30,1,9,05010300,430000,79
3521,4,60,1,9,06015300,520000,61
1827,9,60,3,9,03041100,350000,30
586,9,90,1,9,06070102,310103,65
1283,6,60,1,9,06080101,610000,38
3681,5,40,1,9,05010300,310000,41
3452,4,40,1,3,05010200,310000,17
567,2,60,1,99,06080101,320000,0
2490,7,70,1,99,03041100,210000,82
3139,4,20,1,9,03041100,620000,104
1326,9,80,1,99,05010100,430700,9
3914,7,60,1,99,06013600,510000,85
4041,0,20,1,99,05010700,310000,83
600,12,70,1,99,03041100,340500,48
1548,7,70,1,9,03041100,310000,135
3036,13,70,1,9,06015300,310000,4
2104,1,70,1,99,05010300,230100,94
3141,6,31,1,99,02010600,321181,6
1278,2,30,1,99,06013600,230000,110
2946,2,30,1,99,03041100,340000,23
2685,1,70,1,9,05010300,310000,136
2882,2,60,1,9,05011000,210000,139
493,1,30,1,99,03080400,310112,37
3574,8,30,1,9,04010300,310000,105
4120,14,70,1,99,05010300,341500,96
3727,11,80,1,9,06070102,520000,56
2856,2,80,1,9,05010200,340000,99
2090,11,30,1,99,03041100,310115,135
1046,8,70,1,9,04010100,310000,92
4104,14,90,1,99,06013600,310000,88
3127,10,31,1,99,05010300,321100,130
4053,0,30,1,99,05010300,360000,13
3573,7,70,1,9,03060601,610000,29
2795,2,80,1,9,05010300,230000,123
2808,3,30,1,9,05010300,510000,102
1275,11,30,1,99,03041100,310000,73
3891,7,70,1,99,05010200,410000,126
1445,11,60,1,9,05010300,310000,35
4092,14,60,1,99,06080303,340000,90
2556,6,70,1,99,05010200,210801,5
2945,1,70,1,99,03041100,330000,23
3935,11,30,1,99,03041100,610000,26
2272,15,70,1,9,05010300,500000,94
541,6,30,1,99,06015200,350000,78
1761,10,80,1,99,03041100,341225,67
4083,14,30,1,9,03070100,370000,107
2472,10,70,1,9,06015300,310000,49
2885,3,70,5,9,06070102,650000,12
3836,12,30,1,9,03041100,420000,87
1557,4,80,1,99,05010300,310116,53
3328,12,80,1,99,05010200,341622,76
2653,12,60,1,9,06010300,310000,43
3137,9,30,1,99,05010300,310000,46
3958,4,60,1,99,03070500,440500,120
2137,4,70,1,9,05010300,410000,94
3777,9,90,1,99,06013600,520000,100
4040,0,30,1,99,02014700,310000,54
3909,10,21,1,99,06010100,320000,128
591,4,80,1,9,06015200,310000,27
3373,11,30,1,9,05010300,500000,19
1455,10,41,1,9,05010300,320000,28
1545,6,70,1,9,05010300,350000,86
1485,3,70,1,9,06080101,510000,39
4067,14,41,1,99,05010300,320000,98
3511,3,70,1,99,06015300,310107,137
2463,3,30,1,9,03041100,310000,20
2947,7,70,1,99,03041100,310000,23
534,5,30,1,99,03041100,320400,48
3656,5,70,1,9,05010300,370000,50
2184,5,80,1,99,05010300,511923,94
2271,10,70,1,9,05010300,500000,94
2533,8,30,1,9,03041100,610000,15
595,6,90,15,9,05010200,520000,64
4090,0,20,1,99,06013600,620000,1
3890,11,70,1,99,06012500,350000,69
4048,0,70,1,99,06080101,220000,80
3015,7,90,1,99,06080101,320381,111
4133,0,80,1,99,05010200,310107,116
3200,9,20,1,9,06015300,310000,57
3403,4,80,1,99,06080101,430981,133
3934,1,30,1,9,03041100,370000,26
2464,11,20,1,99,03041100,210000,63
3132,6,30,1,99,04010300,370000,7
2046,12,60,1,99,06080101,520111,11
3898,4,70,1,99,05010200,320000,21
2957,8,70,1,5,06015300,430000,8
4078,0,30,1,9,03070100,370000,107
3465,12,51,1,99,05011000,310000,16
3405,2,60,1,9,06070102,310000,47
3618,10,80,1,99,06011900,370000,81
3665,4,40,1,9,05010200,360000,2
548,1,80,1,99,03041100,340200,48
3586,13,90,1,9,06013600,520000,100
3964,7,60,1,99,05010200,410000,112
3780,7,90,1,99,02010100,510000,138
2763,12,90,1,99,05010300,320481,125
1051,11,80,11,9,06080101,330000,34
4027,0,70,1,3,06010404,430000,45
2494,9,20,1,9,03041100,620000,119
2536,3,90,1,99,05010200,520100,97
603,10,80,1,9,06080101,500000,34
3384,13,70,1,9,06015300,310000,14
3888,1,80,1,99,06011900,440000,81
3717,8,70,1,9,06011900,370000,81
531,6,30,1,99,06015200,530000,78
3615,1,41,1,9,03060600,320000,29
4035,0,70,1,99,06013600,411424,85
2770,12,60,1,99,05010300,340000,106
4119,0,90,1,99,05010300,341501,96
1093,5,70,1,9,06013600,310000,77
4085,0,30,1,99,03041100,330000,95
3779,8,30,1,99,05010200,220000,33
506,13,60,1,99,06080101,330000,24
3501,12,80,1,99,06015300,310109,61
3835,0,41,1,9,03041100,510000,87
1945,9,70,1,9,05010300,510000,3
2132,7,70,1,9,05010300,360000,94
2975,2,60,1,99,06013600,310112,131
1065,6,90,1,99,03070200,510000,36
3245,1,20,1,99,05010300,220000,127
1028,8,21,1,2,03060600,340000,60
3908,11,10,1,3,05010200,230000,51
1510,1,70,1,9,03041100,230000,103
3566,7,70,1,9,05010200,460000,89
1835,3,60,1,99,05010800,320000,115
2121,8,70,1,9,05010300,450000,94
1661,5,70,8,9,05010300,530000,70
3704,10,60,1,9,05010300,310000,22
1630,5,30,1,99,05010300,520100,10
2138,12,70,1,9,05010300,410000,94
2937,3,80,1,99,05010200,310000,75
2183,13,80,1,99,05010300,500226,94
1448,6,50,1,9,03041100,310000,59
1040,10,30,1,99,03041100,511921,48
2085,10,60,1,9,05011000,320000,132
3594,13,30,1,99,06011900,440000,81
2841,11,80,1,9,05010300,500000,94
3126,5,40,1,99,05010700,210300,129
3154,8,80,1,99,06080101,310000,32
3957,1,60,1,99,03070500,440000,120
3023,1,30,1,99,03041100,411723,109
3878,8,70,1,99,06011900,610000,81
1653,5,81,1,99,03041100,341100,101
3936,13,21,1,99,03041100,340000,122
3633,13,40,1,99,03041100,231001,87
2020,4,50,1,9,03041100,370000,67
3554,13,80,1,9,06015300,350000,124
3949,9,30,1,99,05010300,320000,62
3981,5,30,1,99,05010200,340000,121
3801,4,21,1,9,06015300,510000,42
3553,5,80,1,9,06015300,320000,124
3151,3,30,1,3,08010100,310000,113
3850,5,70,1,9,06011900,440000,81
576,2,70,1,9,06015200,310000,27
3375,12,80,1,99,06015300,310104,14
3285,9,70,1,9,06015300,310000,93
2962,2,30,1,9,02010100,340000,68
3811,8,30,1,9,03041100,310000,114
3173,8,30,1,9,03050600,340000,108
552,10,70,1,9,06070102,440000,84
1924,2,50,1,9,03041100,420000,67
3073,5,80,1,99,06080101,210000,111
1315,3,20,1,99,06013600,330400,77
1444,3,90,1,9,06070103,500000,44
2471,11,70,1,9,06015300,310000,49
1029,10,70,1,9,05010300,320000,66
3607,13,80,1,9,06011900,330000,81
2884,3,31,1,9,06070101,310000,58
3199,3,20,1,9,06015300,310000,57
3803,8,21,1,9,06015300,510000,42
1066,12,90,1,99,06070102,429004,25
538,4,30,1,9,03041100,340100,55
2119,9,30,1,9,05010300,230000,94
2804,9,70,1,99,08010100,340000,74
1777,12,31,1,99,06013600,341182,52
2534,13,80,1,99,03041100,310113,67
550,8,90,1,99,06080101,340000,34
3613,7,70,1,9,06011900,370000,81
3407,13,70,1,9,06015300,310000,71
563,6,80,1,9,06015200,310000,27
602,3,80,1,9,06015200,360000,27
2825,6,80,1,99,06015300,341823,72
3854,11,80,1,9,06060500,340000,31
1533,13,70,1,99,05010300,522223,40
3603,7,60,11,9,06080101,210000,18
