id,room,education,nationality,occupation,cause,hometown,record
1732,5,20,10,99,06012200,220000,56
3733,22,80,1,9,05011000,340000,20
634,0,41,1,99,03041100,310104,256
1532,26,40,1,99,03041100,310113,289
3807,22,30,1,9,06013600,330000,177
3884,1,70,1,99,05010300,230000,379
3755,22,70,1,99,06015300,340000,441
4020,25,31,1,99,03060600,320000,116
167,7,30,1,9,05010300,310000,164
3666,22,70,1,9,06011900,610000,313
4070,42,70,1,99,05010300,350000,524
848,39,70,1,9,05010300,310000,240
4008,15,20,1,99,05011000,340000,200
216,9,60,1,9,05010300,360000,382
2057,27,70,1,99,06080101,340200,35
2050,24,60,1,99,06080101,340200,35
3610,6,80,1,99,06011900,330000,313
1635,26,30,1,9,05010300,310000,309
3567,0,70,1,9,06011900,330000,313
1103,31,81,1,99,05010300,230100,477
3008,37,70,1,9,05010200,310000,391
460,33,70,1,99,03080400,110102,135
2642,34,70,1,99,06015300,310104,469
3561,36,39,1,9,06015300,510000,117
1119,26,80,1,99,06060703,441300,44
1226,28,70,1,99,06013600,510700,202
3834,4,70,1,9,05010200,520000,255
4131,20,20,1,99,05010300,330300,118
3330,37,70,1,9,05010300,310000,533
247,9,70,1,9,06080101,340000,273
1102,1,50,1,99,05010300,310113,477
3432,0,70,1,99,06013600,310000,339
683,12,60,1,99,05010300,510522,86
3973,1,41,1,9,06015300,310000,104
4103,42,30,1,99,06013600,320000,76
2504,2,20,1,9,02013407,310000,19
4132,20,41,1,99,05010200,361100,499
3784,29,70,15,99,05010200,520000,500
3284,23,81,1,9,04010600,340000,390
957,22,21,1,99,05010300,310000,83
3969,9,70,1,9,05010200,310000,84
249,32,21,1,99,05010300,310000,83
3687,2,70,1,9,03070200,320000,196
179,1,60,1,99,05010100,370100,106
3458,3,41,1,99,06015300,310104,270
1019,24,80,1,99,05010300,340621,102
1875,7,20,1,99,05010300,710000,367
199,4,30,1,99,06014507,310105,450
2172,26,70,1,99,05010300,500226,367
3397,7,51,1,9,04010901,310000,25
164,12,70,1,9,06013600,340000,38
3965,28,70,4,99,05010200,510000,468
2470,7,20,1,99,03041100,310000,49
18,3,20,1,99,04010600,310000,178
4069,20,30,1,99,04010901,310000,36
3947,21,80,1,99,02014700,341226,402
3668,14,70,1,9,06013600,620000,457
3552,10,70,1,9,06015300,310000,493
2757,35,90,1,99,05010300,341300,524
2767,37,80,1,99,05010200,130100,233
3738,35,80,1,9,05010200,340000,378
2044,32,70,1,99,06080101,340200,35
3399,13,80,1,9,06015300,350000,440
2055,11,60,1,99,06080101,350122,35
44,2,30,1,99,05010300,310000,83
2182,29,70,1,99,05010300,520100,367
2801,23,21,1,99,05010100,210000,171
47,10,30,1,9,05010300,450000,301
1546,38,30,1,9,03041100,310000,534
4009,27,20,1,2,08010100,310109,452
3595,19,90,1,99,04010300,310000,435
68,3,60,1,99,06080101,340122,2
3951,13,90,1,9,06013600,410000,150
1873,15,30,1,99,05010100,370000,234
3080,25,60,1,9,05010300,360000,264
1763,9,60,1,99,03041100,310112,242
3686,10,70,1,9,03070200,320000,196
3674,34,70,1,9,06013600,620000,457
108,5,70,1,99,05010300,430000,86
879,36,70,1,9,06080101,310000,245
4000,10,60,1,99,05010300,330000,176
4061,19,30,1,99,04010300,310000,69
1862,39,51,1,99,04010300,370000,146
3584,24,70,1,99,05010200,340000,387
3913,42,60,1,99,06013600,310000,334
3301,28,80,1,99,05010200,140000,456
3288,24,70,1,99,05010300,340000,285
3393,32,70,1,99,06013600,360100,316
2986,8,70,15,9,05010200,520000,517
2027,32,60,1,99,05010300,321283,408
4114,42,70,1,99,05010200,310000,199
83,7,20,1,2,03060600,310000,203
3693,33,30,3,9,04010300,110000,186
468,23,30,1,99,05010300,321023,345
3960,13,70,1,99,05010300,410300,355
2015,27,20,1,9,04010901,320000,159
1507,26,80,1,9,06080101,220000,59
3292,21,80,1,9,05010200,420000,229
943,39,90,1,9,05010200,520000,347
3682,11,40,1,9,05010300,320000,113
2066,26,60,1,99,05010200,210100,227
3932,6,30,1,99,04010300,310000,79
2048,15,60,1,99,06080101,421127,35
3457,7,31,1,99,06015300,310000,270
3433,16,70,1,99,06013600,310000,339
3380,2,40,1,99,03043700,510821,351
3394,35,80,1,9,06013600,410000,88
1605,5,60,1,9,05010300,410000,287
4084,20,80,1,99,05010200,310000,486
2898,7,90,18,99,06013600,530000,161
3479,36,70,1,99,06013600,360000,311
1886,12,60,1,9,05010300,210000,346
435,26,90,1,9,05010200,430000,5
271,31,21,1,99,03041100,610000,40
3106,14,70,1,99,06080101,340000,373
4043,42,30,1,99,02014700,310000,488
3535,33,30,1,9,05010200,410000,66
2758,39,80,1,99,05010300,350925,524
2139,34,70,1,9,03041100,330000,360
4011,41,70,5,9,06013600,650000,1
3885,34,70,1,99,06013600,410326,288
1832,7,70,1,9,03041100,330000,406
4045,41,60,1,99,05010300,310000,421
2045,1,80,1,99,06080101,430903,35
4006,8,70,1,99,05010200,320000,424
2658,5,70,1,99,05010800,310104,43
3282,12,90,1,9,05010200,420000,532
3716,10,70,1,9,05010300,360000,540
4123,43,90,1,99,05010300,341522,384
3303,36,30,1,9,05010300,340000,180
4082,41,30,1,99,03070100,370000,442
4096,19,20,1,99,06012200,310000,538
3488,14,40,1,9,05010300,520000,31
3372,6,80,1,9,05010300,330000,125
837,38,60,1,2,05010300,130000,354
3994,6,70,1,99,05010300,350000,31
3691,10,80,1,99,05010300,361000,330
263,32,70,1,9,05010300,310000,307
3679,35,70,1,9,06013600,620000,457
3168,33,90,1,99,04010600,360100,431
3549,33,70,1,9,06015300,420000,493
3764,22,79,1,99,05010100,370000,372
1399,14,20,1,9,04010600,360000,364
2365,27,70,1,99,05010300,500226,367
3190,2,80,1,9,06013600,340000,377
3280,12,20,1,9,05010300,350000,108
2120,38,30,1,9,05010300,330000,55
4072,41,70,1,99,05010200,340000,8
2128,9,80,1,9,06080101,410000,458
4110,42,80,1,99,06010600,341522,392
3273,8,70,1,9,05010200,150000,153
3789,7,70,1,9,06015300,510000,117
3998,14,70,1,99,06080101,420000,308
4128,43,70,1,99,05010200,350000,491
4015,28,80,1,99,05010200,360000,112
1125,22,70,1,99,03041100,310000,336
3940,22,30,1,99,06012200,210000,338
3096,25,40,1,9,05010300,150000,206
633,11,70,1,9,05010200,510000,50
2951,13,70,1,9,06015300,350000,30
2127,27,80,1,9,06080101,410000,458
2756,5,80,1,99,05010300,341300,524
3051,6,70,1,9,06080101,330000,448
2753,9,40,1,99,05010300,320000,417
2047,38,60,1,99,06080101,410000,35
3638,11,90,6,99,06013600,431200,109
3581,22,30,1,99,06011900,440000,313
3098,2,20,1,99,03041100,310115,187
2174,15,90,1,99,05010300,500100,367
3601,29,70,1,99,06013600,140000,374
3149,9,80,1,99,05010300,310110,228
3722,29,70,1,9,05010200,340000,103
4016,16,70,5,99,06013600,650000,1
3757,13,80,1,99,05010200,310000,261
2518,14,70,1,99,05010300,500226,367
3392,16,70,1,99,06013600,321023,316
967,25,80,1,9,05010200,450000,515
2177,36,80,1,99,05010300,500226,367
3440,25,80,1,4,06011900,430000,313
3464,30,80,1,99,05011000,310000,41
3468,33,20,1,99,05010300,340000,463
3945,19,20,1,99,02014700,310000,94
675,13,40,1,99,06080101,360000,473
691,14,60,1,9,06070102,410000,348
1888,30,40,1,99,06013600,340000,169
3522,11,70,1,9,06011900,440000,313
182,5,70,1,9,06070102,420000,60
3389,10,70,1,9,05010200,320000,310
3274,10,70,1,9,05010200,320000,108
3684,16,30,1,9,03070200,320000,196
3306,9,70,1,99,05010200,330000,394
2913,15,80,1,9,04010300,310000,415
4111,42,80,1,99,05010200,520123,525
3967,6,70,1,99,03060700,340000,140
2864,0,70,1,9,06013600,220000,520
2641,11,80,1,99,03080400,331000,61
3912,9,41,1,99,06013600,310000,334
3295,4,70,1,99,04010300,360000,521
2514,0,30,1,99,05010300,420921,149
1322,39,60,1,9,06080101,310000,97
2129,8,70,1,9,05010300,520000,367
1809,3,20,1,9,03041100,310000,526
3414,32,40,1,99,05010300,445222,434
4126,20,70,1,99,06012200,410526,236
2929,29,80,1,99,06010100,510000,426
3454,24,80,1,99,04010300,220000,181
4098,21,20,1,99,06012200,430000,538
3760,23,70,1,99,04010300,500000,155
4021,26,70,1,99,06013600,320000,90
4109,21,30,1,99,05010300,340000,385
3837,10,30,1,99,05010200,340000,501
3180,27,30,1,99,05010300,310101,257
3325,34,31,1,9,03050600,440000,487
4129,43,70,1,99,06010100,320000,304
1350,24,70,1,9,05010300,230000,382
3651,25,70,1,9,05010200,340000,281
3462,30,80,1,99,05010200,340000,437
4033,36,41,1,99,06013600,320982,76
4095,42,70,1,99,05010200,530000,248
3176,10,40,1,9,03080400,320000,220
2491,1,60,1,9,05010300,130000,367
3906,28,80,1,99,05010200,500000,484
2176,6,70,1,99,05010300,500226,367
3152,23,30,1,99,08010300,310000,193
54,2,70,1,9,06080101,320000,422
2949,11,70,1,9,06015300,150000,30
194,10,80,1,9,06080101,450000,77
3446,4,70,1,9,06011900,510000,313
3509,8,41,1,9,05010200,440000,263
2822,9,80,1,9,05010200,640000,128
3626,0,31,1,99,06070101,330000,320
3262,10,70,1,9,04010600,340000,223
3526,28,80,1,9,06010100,410000,471
4099,43,70,1,99,06015300,650000,393
3422,27,80,1,9,06013600,350000,126
1636,1,30,1,9,05010300,310000,309
3578,6,80,1,99,05010200,310000,282
1362,8,70,1,99,05010200,310112,134
3022,16,88,1,99,03041100,350900,444
3524,23,80,1,9,05010200,610000,532
62,2,40,1,99,05010300,310101,297
3929,4,70,1,99,05010200,500000,472
1681,25,70,1,9,05010300,230000,531
4122,42,41,1,99,05010300,230800,384
3696,28,70,1,9,05010200,410000,318
3989,4,60,1,99,06013600,310000,337
3899,29,70,1,99,06012500,350000,271
1221,24,70,1,99,05010300,510500,416
2134,13,80,1,9,05010300,410000,367
2897,3,70,18,99,06013600,530000,161
3673,2,80,1,9,06013600,620000,457
3425,29,30,1,99,05010300,360000,543
1437,27,90,1,9,05010300,320000,201
3548,2,70,1,9,06015300,340000,493
3030,14,80,1,9,05010200,340000,194
3362,9,80,1,9,05010200,330000,11
3352,5,70,1,9,06080101,330000,512
4121,20,21,1,99,05010300,340121,384
629,11,80,1,99,03080300,310113,299
3055,4,30,1,99,06012200,330300,14
3571,32,70,1,9,05010300,350000,449
3915,5,20,1,99,05010700,320000,80
882,36,90,15,9,05010200,520000,27
3875,23,90,1,99,06080101,150000,137
4002,11,70,1,99,03070200,350000,136
2815,14,90,1,99,05010300,350900,524
945,39,20,1,99,06011900,420000,446
2545,16,70,1,99,06015300,320000,397
4055,19,30,1,9,06010100,330000,172
4038,23,60,5,99,06013600,650000,1
3448,37,30,1,3,06070101,320100,162
3555,38,70,1,9,05010300,510000,225
4010,5,70,5,9,06013600,650000,1
3430,25,90,1,9,05010200,520000,167
180,8,70,1,9,06070102,360902,325
1351,34,70,1,9,05010300,310000,417
3429,39,80,1,99,05010200,310000,91
2517,32,30,1,99,03041100,442000,51
234,3,80,1,99,03041100,330226,160
2100,1,30,1,99,05010300,310000,408
3661,7,71,1,9,06015300,320000,328
2049,13,60,1,99,06080101,410421,35
3614,31,30,1,9,03060600,320000,340
3225,5,40,1,9,04010901,340000,168
4075,19,80,1,99,05010200,360000,366
3754,23,70,1,9,06080101,320000,512
3120,26,70,1,9,06080101,440000,448
3163,6,20,1,9,06012001,340000,439
336,31,20,1,9,05010300,310000,297
3848,41,70,1,9,05010200,410000,489
742,1,30,1,99,05010300,340100,102
3606,16,40,1,9,05010200,340000,514
2633,15,60,1,9,05010300,230000,531
754,4,80,1,9,05010300,330000,164
2117,0,70,1,3,05010300,500000,367
3281,34,70,1,9,05010200,370000,532
125,5,70,1,99,03041100,341126,156
668,13,31,1,9,03080400,320000,423
2460,13,30,1,9,03041100,320000,49
3732,16,60,1,9,06013600,430000,28
1243,28,40,1,99,03080300,330000,299
3788,7,20,1,99,06070101,530000,312
3637,23,70,7,99,06013600,513400,109
2467,28,60,1,99,03041100,320000,49
3406,38,80,1,99,04010600,361000,232
1135,15,60,1,99,06013600,140000,475
3450,9,30,1,99,03041100,350000,380
2126,5,80,1,9,06080101,410000,458
3395,15,70,1,9,06013600,310000,88
3887,8,30,1,99,04010300,410000,495
1504,1,70,1,9,06080101,220000,59
3338,1,80,1,99,06080101,350122,173
2706,9,40,1,9,05010300,110000,129
2018,7,70,1,9,03041100,340000,242
3436,25,70,1,99,06013600,310000,339
611,11,70,1,99,05010300,310000,240
1813,25,40,1,9,05010300,310000,148
116,6,80,1,99,06080101,350122,138
3035,6,70,1,9,06015300,340000,13
3952,16,80,1,99,05010300,440000,498
4042,26,70,1,99,02014700,230000,244
2794,36,41,1,9,05010300,230000,492
58,2,20,1,9,05010700,310000,211
3728,16,70,1,9,06080101,230000,21
