id,room,education,nationality,occupation,cause,hometown,record
40,11,70,1,99,06070000,330000,0
412,0,10,1,99,08000000,310105,1
2663,13,80,1,99,04011000,342422,2
5077,0,60,1,99,05010300,350823,4
5082,0,70,1,99,05010300,350582,4
5083,0,31,1,99,05010300,350521,4
5097,13,41,22,99,05010300,350524,4
5151,13,80,1,99,05010300,350000,5
5454,6,70,1,99,05010300,360122,7
5642,8,21,1,99,05010300,410527,3
5693,13,90,1,99,04010300,310117,8
5808,10,10,1,99,03041100,342522,9
5956,7,70,9,99,04010300,520000,10
6193,7,70,1,99,06021000,310226,6
6243,8,30,1,99,"050300,0",370000,11
6246,11,70,1,99,"050300,0",340000,11
6304,2,31,1,99,05010300,310000,12
6432,5,70,1,99,05010300,310118,3
6608,4,10,1,99,03041100,310000,9
6838,6,60,1,99,06070103,310000,13
7133,9,30,1,99,06011900,130921,14
7743,13,70,1,99,03010600,340322,15
7770,13,41,1,99,03010600,340822,15
7818,13,80,1,99,03010600,340000,15
7831,11,70,1,99,05010300,310229,3
7841,12,70,1,99,05010300,320481,16
7867,12,20,1,99,03041100,640381,9
8001,12,70,1,99,03041100,342423,17
8002,5,70,1,99,03041100,310118,17
8126,10,70,1,99,03041100,511900,17
8127,4,60,1,99,03041100,310107,17
8133,9,31,1,99,03041100,331023,3
8409,11,70,1,99,05010300,320922,18
8483,12,80,1,99,03070200,440785,19
8488,2,80,1,99,03070200,441623,19
8591,9,70,1,99,03060600,130634,20
8670,11,31,1,99,03080600,210204,21
8676,4,60,1,99,04010300,321321,22
8686,7,70,1,99,05010300,362322,23
8737,8,80,1,99,03041100,411500,3
8738,10,31,1,99,03041100,310117,3
8804,13,20,1,99,05010300,310117,24
8898,9,70,1,99,05010300,310000,25
8911,12,60,1,99,05010300,411322,26
9016,0,31,1,99,03041100,350000,27
9165,5,70,1,99,06070102,510000,28
9178,8,60,1,99,06080101,230000,29
9202,7,10,1,99,03041100,362425,3
9225,8,70,1,99,05010300,340321,30
9226,11,90,1,99,05010300,372925,30
9264,10,30,1,99,04010300,310118,31
9376,10,70,1,99,05010300,310104,32
9406,1,31,1,99,05010300,220000,32
9418,12,70,1,99,05010300,350403,32
9523,6,80,1,99,05010300,372924,33
9524,6,80,1,99,05010300,610481,33
9525,6,41,1,99,05010300,130823,33
9526,6,60,1,99,05010300,230521,33
9528,13,70,1,99,05010300,511524,33
9530,6,60,1,99,05010300,610430,33
9538,6,70,1,99,05010300,532927,33
