id,room,education,nationality,occupation,cause,hometown,record
4977,6,60,1,99,06080303,510300,116
4340,13,70,9,99,06990000,350900,181
7545,2,41,1,99,06013600,310115,90
7557,4,81,1,99,06015300,310117,145
6768,0,30,1,99,06012500,360281,20
7138,12,80,1,99,06015300,342502,199
7409,7,80,1,99,06015300,341226,7
7320,10,41,1,99,06015300,310115,50
6442,12,70,1,9,06080303,410622,155
6311,1,80,1,99,05010300,341521,150
7361,10,70,1,99,06080303,220182,72
7297,10,70,6,99,05010200,430527,229
4152,10,70,1,99,06080101,310104,113
1706,5,39,1,99,05010300,321283,185
7325,4,81,1,99,03080600,430481,77
7087,12,70,1,99,05010300,341225,42
2067,8,80,1,99,03050100,350700,40
7370,7,70,15,99,03080600,422825,154
6210,6,60,1,99,05010300,520330,148
4616,3,30,1,99,05010300,421127,128
6934,3,80,1,99,06090104,411400,2
7369,9,30,15,99,03080600,422801,154
7317,9,79,15,99,03080600,422801,25
7442,7,80,1,99,02014600,340321,14
2320,1,30,1,9,05010300,310115,87
5947,11,60,1,4,06090105,410000,130
6767,1,70,1,99,06012500,360281,20
7594,4,30,15,99,03080500,430726,226
7423,7,70,1,99,05010300,211381,49
7483,9,70,1,99,03070200,130128,83
7335,4,30,1,99,03080600,371322,93
7523,7,70,1,99,06010100,341522,222
7604,4,49,1,99,05010300,429006,8
7198,12,70,1,99,06015300,445200,183
7431,7,60,1,99,03070100,360424,45
7296,10,70,1,99,06015300,350782,132
7193,3,80,1,99,06012500,441303,35
6876,1,80,8,99,03070100,532627,198
6499,3,70,1,99,06071200,342623,220
4759,6,60,1,99,05010300,230000,217
4210,13,70,1,99,05010300,511025,67
7540,2,70,1,99,06015300,511525,178
6657,8,70,97,99,06013600,522425,163
790,13,90,1,99,04010100,411528,0
7603,4,70,1,99,05011000,230181,158
7482,7,70,1,99,03070200,97,16
7332,10,71,1,99,03080600,320583,142
7121,12,70,1,99,06021400,341227,109
5432,12,80,1,99,04010300,532600,161
6710,0,90,7,99,06010100,511323,212
4397,6,60,1,9,06080101,340721,88
2826,9,30,1,99,03080600,110000,237
5935,11,71,1,99,06015300,310117,196
6684,6,20,1,99,04013200,410800,101
6651,11,70,1,99,05010300,130100,24
6817,1,70,1,99,05010300,341204,4
7262,9,70,1,99,06021400,530624,138
7537,2,70,1,99,06010100,411528,171
7349,9,20,1,99,03080600,320900,93
4495,9,60,1,99,05010300,230000,242
7539,2,70,1,99,06015300,510683,192
7278,10,70,1,99,03070301,450521,198
7536,2,70,1,99,05010200,310115,111
7538,2,70,1,99,06010100,411222,60
7264,10,30,1,99,05010800,341200,246
6619,11,70,1,99,06090104,220381,107
5593,12,61,5,99,05010200,652901,139
7347,4,20,1,99,03080600,321183,93
7192,8,41,1,99,06012500,440900,183
6769,6,40,1,99,06012500,360281,20
7535,2,90,1,99,06080101,522201,136
5329,8,70,1,99,05010700,341022,28
6378,0,80,1,9,03070301,450621,81
6968,0,30,1,99,05010300,420822,156
7241,9,70,1,99,06015300,612522,105
7448,7,20,1,99,05010700,220104,184
7541,2,90,1,99,06080303,340826,180
7543,2,20,1,99,05011000,310115,147
6772,5,10,1,99,06021502,310112,84
7314,10,70,1,99,05010300,410223,71
7315,10,80,1,99,03070200,130926,228
5913,6,80,1,99,06080101,522401,56
6985,9,71,1,99,03080600,331003,117
7199,12,30,1,99,06012500,441300,35
6370,6,80,8,99,03070301,532627,81
7354,10,70,1,99,06071200,230381,191
5803,0,60,1,99,05010300,412700,129
5077,11,30,1,9,05010700,360323,118
7605,4,70,1,99,05010300,360729,8
7546,2,80,1,99,05010200,320922,175
7544,2,70,1,99,05010300,441623,160
4162,11,60,1,99,05010300,130400,32
7355,10,90,1,99,05010300,451122,13
4160,1,60,1,99,05010300,510900,200
7094,7,70,1,99,05010300,500101,42
7254,10,30,1,99,06021400,360313,20
3994,9,20,1,9,03041100,310104,102
4302,13,20,1,99,05010300,340406,36
1987,1,60,1,99,03041100,310000,201
2604,0,61,1,99,03050800,310000,151
5841,8,30,1,9,05010700,320324,114
2431,13,70,1,99,06015200,230183,214
6819,1,41,1,99,03080400,420683,190
1968,13,60,1,99,04010300,412725,18
6286,6,70,1,99,05010300,360424,17
7602,7,30,1,99,05010300,429004,232
6848,0,60,1,99,06071200,310112,39
2593,3,60,1,9,03041100,310105,177
6309,0,70,1,99,06013600,340421,243
7464,9,90,1,99,06013600,342423,195
7465,7,70,1,99,06013600,342422,195
5025,5,70,1,99,03041100,150429,203
7386,7,60,1,99,06013600,310120,63
7494,7,60,1,99,05010300,430524,235
7493,9,21,1,99,05010300,430407,235
7542,2,30,1,99,05010300,410223,160
7275,10,90,1,99,06010100,341521,144
6567,0,80,1,99,05010700,310120,194
6212,3,60,1,99,05010300,520330,12
4285,3,41,1,99,05010300,410603,128
4399,5,30,1,99,05011000,310115,66
6560,3,70,1,99,05010200,510129,6
6504,3,30,1,99,06010100,140726,44
6314,0,60,1,99,05010300,610722,78
2231,5,61,1,99,05010300,320600,202
2608,5,70,1,99,05010300,310112,143
893,8,30,1,99,05010300,220100,236
6302,5,89,1,9,05010200,371727,103
1644,6,80,1,99,06080101,511500,82
4151,9,70,1,99,06080101,310112,30
7299,9,70,1,99,06015300,622429,95
5429,12,89,1,4,06080302,411000,238
1256,5,61,1,9,03041100,310226,152
4668,5,20,1,9,03080500,320400,108
7106,3,70,1,99,05010300,341522,42
6879,5,30,1,9,06071001,411282,76
6911,8,70,1,9,06090104,440923,43
4429,11,70,1,9,05010300,340300,223
6263,11,41,1,99,06050800,310120,91
6986,12,31,1,99,03080600,331003,117
7088,2,70,1,99,05010300,411526,42
7214,8,90,1,99,05010200,340321,215
2442,12,89,1,99,06013600,310116,213
7091,2,40,1,99,05010300,230126,42
1865,13,70,1,99,06080303,340828,5
2628,13,60,1,99,05010200,430721,127
7517,7,70,1,99,06013600,320900,225
7336,9,71,1,99,03080600,371322,93
7519,7,80,1,99,06013600,342422,86
7550,7,70,1,99,06015300,331181,140
7534,2,60,1,99,05010300,610502,160
7583,4,80,1,99,06010100,411025,244
5312,0,89,1,99,02014600,310226,187
799,0,20,1,99,05010300,320300,75
2495,0,89,1,9,05010300,310116,34
5495,0,30,1,99,05010300,310117,119
5514,0,30,1,99,05010700,350700,92
5690,0,30,1,9,05010300,310112,173
