id,room,education,nationality,occupation,cause,hometown,record
7574,28,60,1,99,05010300,310120,374
7438,28,30,1,99,06010100,310226,361
7612,30,80,1,99,06015300,140621,533
7419,42,70,1,99,06013600,530300,534
7589,30,70,1,99,03070200,350725,638
7592,26,41,1,99,03070200,350725,638
7556,28,30,1,99,06010406,371326,38
7586,28,70,1,99,04010300,411626,203
6652,0,70,1,99,06013600,230500,622
7590,32,41,1,99,03070200,350725,638
7432,38,70,1,99,06013600,341226,600
7608,30,30,1,99,05010300,361123,741
7609,30,70,1,99,04010600,310120,101
5405,10,51,1,99,04010600,342426,84
6631,19,70,1,99,03041100,330881,427
7288,28,30,1,99,02014600,441581,317
7304,36,30,1,99,05010300,310120,223
5596,4,60,1,99,06015300,310120,255
7611,30,62,1,99,05010300,341125,786
5577,6,60,1,99,05010700,330327,818
6108,8,90,1,9,05010200,342422,379
5028,18,31,1,99,03080500,440281,673
20,10,70,1,99,05011000,350825,424
7084,40,70,1,99,06080101,341422,338
6775,35,80,1,99,06010100,310120,690
4953,9,70,1,99,05010300,412728,88
6250,19,60,1,4,03060600,340721,392
5546,3,79,1,9,06013500,341521,158
5392,5,70,1,9,02014600,362422,463
6465,9,70,1,9,05010300,411323,42
7425,26,80,1,99,05010200,610431,474
7593,30,80,1,99,03070200,430426,638
7562,32,70,1,99,06013600,341521,870
7613,28,70,1,99,06015300,310120,350
7558,28,80,1,99,06015200,310120,827
7587,30,80,1,99,05010200,341621,129
7597,30,70,1,99,06012500,371621,419
7295,36,41,1,6,06015300,350782,695
6466,10,70,1,9,05010300,341522,556
7020,9,70,1,9,05010200,621025,898
7251,30,60,1,99,05010300,511024,715
1780,12,70,1,9,04010600,411625,298
5760,16,60,1,99,05010300,310120,48
6861,26,70,1,99,06015300,360121,310
7596,30,41,1,99,03070200,430321,638
7560,26,70,1,99,06013600,341521,870
7133,23,70,1,99,03070200,350421,195
7422,26,79,1,99,05010300,230123,677
7433,26,30,1,99,06013600,341226,600
7436,36,70,1,99,06013600,341203,846
7247,40,70,1,99,05010200,371721,184
6628,19,70,1,99,06090105,361002,473
5316,15,70,1,99,06060200,310115,130
6486,4,70,1,99,05010300,410322,106
7430,38,31,1,99,03070100,360424,693
6540,5,30,1,99,05010700,610721,852
7303,36,70,1,99,06015300,350725,695
7238,31,30,1,99,05010300,97,63
6412,4,80,1,9,05010200,511921,833
1665,18,70,1,99,05010300,342400,244
6834,35,70,1,99,05010300,310117,312
7572,28,60,1,99,04010300,310120,44
7410,43,60,1,99,06080101,310115,487
6036,16,70,1,9,06012500,350600,116
7388,32,41,1,99,03080300,310120,494
4339,1,41,1,99,03070200,330825,161
7305,41,70,1,99,06015300,350924,238
7429,26,70,1,99,03070100,360424,693
7358,34,30,1,99,03080600,320903,547
5365,14,90,1,99,06080302,421223,230
7107,29,80,1,99,05011000,360731,384
7312,23,70,1,99,05010200,511324,100
7055,24,20,1,99,05010300,411524,468
7313,36,21,1,3,03031000,310120,413
2422,18,41,1,99,05010300,431382,8
7356,41,31,1,99,03080600,430481,549
7270,43,70,1,99,06012500,450881,628
6252,11,70,1,99,06013600,341521,787
7598,43,71,6,99,03070200,430529,774
7559,28,80,1,4,05010300,340800,331
7485,26,70,1,99,05010200,342921,643
7427,43,80,1,99,03050800,341521,629
6564,5,80,1,99,06015300,362531,386
5601,9,80,1,99,04010300,620000,675
6506,33,80,1,99,04011910,511725,634
6578,16,80,1,99,04010600,341281,612
7424,26,70,1,99,05010200,330225,281
7363,38,30,1,99,03080600,430481,547
4520,27,70,1,99,03070200,450000,647
7600,30,80,1,99,06090104,440923,525
7599,30,41,1,99,03070200,450921,774
7595,30,30,1,99,02014700,320921,261
6546,11,70,1,99,06070103,341521,609
6555,22,80,1,99,05010200,622621,211
7525,32,70,1,99,06015300,341500,883
6184,15,70,1,99,06015300,310226,862
7360,34,80,1,99,06080303,320722,61
7326,38,40,1,99,03080600,340122,549
6930,33,70,1,99,06010100,321321,170
7389,34,70,1,99,03080300,341400,494
6104,16,80,1,9,06013600,341521,178
7564,28,60,1,99,06015300,310120,605
7152,23,80,1,99,06070102,610424,141
6973,33,30,1,99,05010300,513327,659
7376,26,39,1,99,03080600,320902,549
7137,23,70,1,99,06015300,511500,775
7289,36,70,1,99,05011000,310115,620
7343,36,20,1,3,03080600,320583,547
7319,36,21,1,99,03080600,330281,547
7474,38,70,1,99,05010800,341522,363
7435,26,60,1,99,06013600,341225,727
5681,11,70,1,9,03060600,421222,535
7048,40,40,1,99,05010300,341802,135
5559,4,70,1,9,06080101,331023,370
7526,30,70,1,99,06015300,97,229
7256,40,79,1,99,02013406,511922,662
6559,11,70,1,99,05010200,342423,73
6698,7,70,1,99,03080600,421281,167
7529,32,70,1,99,06090104,130000,848
7584,30,30,1,99,04010300,310110,637
7016,13,60,1,9,03080300,361122,739
2531,24,90,1,5,06015200,310116,796
439,2,30,1,99,05010300,310101,692
7585,30,70,3,99,04010300,411626,819
7259,23,70,1,99,06021400,430424,803
6399,4,70,1,99,06090104,150500,442
1977,2,61,1,8,05010300,320681,188
426,7,70,1,9,05010300,331000,656
6174,33,70,1,99,05010200,330600,744
6401,0,60,1,9,05010700,341825,155
7439,43,30,1,99,06013600,310120,398
7451,38,70,1,99,05010200,370826,864
7322,36,30,1,99,03080600,320583,547
6400,18,70,1,99,05010300,310120,120
7056,24,90,1,99,05010300,310120,28
6981,34,40,1,99,05010200,310120,804
7362,26,39,1,99,03080600,330324,549
7411,26,80,1,99,05010200,411729,285
6485,15,60,1,99,05010300,410322,106
6148,6,89,1,99,06012500,350600,756
7477,26,70,1,99,06013600,431224,175
7579,28,70,1,99,05010300,341226,805
7330,41,31,1,99,03080600,310118,549
7524,32,70,1,99,05010300,130000,593
7591,32,70,1,99,04010300,411626,819
2609,22,70,1,9,02014600,342400,308
7567,28,81,1,99,05010200,361127,890
6481,11,80,1,99,03041100,310120,309
7568,28,30,1,99,06090104,220724,391
7449,42,81,1,99,06013600,342422,815
6589,17,70,1,99,04010600,622600,571
7027,13,80,1,99,04010300,341281,623
4660,25,30,15,9,03080500,430822,471
7413,26,70,1,99,05010200,350300,618
7484,32,70,1,99,05010200,342921,643
6300,7,81,1,9,05010200,341226,73
1041,7,70,1,9,03041100,370200,57
6756,14,70,1,99,06015300,511111,553
7172,31,70,1,99,04010600,510723,220
6494,17,90,1,99,06012500,445122,112
7272,23,70,1,99,06013600,310120,538
7454,42,80,1,99,06021402,610400,504
4415,4,70,1,99,05010300,340000,14
7308,41,70,1,99,06015300,350725,238
7374,38,39,1,99,03080600,320902,549
4444,4,41,1,4,06015200,310000,512
2700,3,60,1,99,03080700,340321,390
6358,20,60,1,99,03070301,440233,476
7160,23,60,1,99,03020901,320125,342
3914,13,80,1,99,03080400,310226,724
7476,38,70,1,99,06013600,430681,175
7099,36,70,1,99,05010300,230622,136
7420,42,80,1,99,05010200,411624,380
7412,26,70,1,99,05010300,330225,115
7003,39,70,1,99,03080600,450681,396
5440,10,80,1,9,06060200,310120,626
7440,42,80,1,99,05010200,310112,860
7302,41,70,1,99,06015300,350725,238
7282,38,90,1,99,05010200,532125,349
7569,28,70,1,99,03080300,341226,149
5541,41,70,1,9,06013500,341225,725
2809,4,41,1,99,05010300,310120,157
6285,4,31,1,99,05010300,340500,147
7521,32,90,1,99,05010200,341623,295
5293,10,70,1,9,05010200,341522,102
7180,40,70,1,99,06080101,320722,237
7571,28,70,1,4,04010300,310120,871
7486,34,80,1,99,05010200,341721,643
7371,38,70,1,99,05010200,620982,291
7342,34,20,1,99,03080600,429006,549
5992,12,70,1,9,05011000,341522,303
7450,34,70,1,99,06010406,341623,38
7553,32,70,1,99,05010200,310230,146
7235,27,70,8,99,03070301,451026,476
7301,31,80,1,99,06015300,350725,238
5336,14,60,1,9,03041300,340207,822
7129,23,70,1,99,06013600,310120,891
6495,15,80,1,99,06012500,433130,174
7531,40,20,1,99,04010100,310000,247
7311,36,60,1,99,05010200,430522,275
6020,2,80,1,99,06010100,371323,826
6283,1,70,1,99,05010300,360400,800
6905,33,61,1,99,05010300,362502,300
7323,34,38,1,99,06015300,310107,549
5181,13,70,1,9,02014600,510781,464
7307,31,70,1,99,06015300,350725,238
7019,37,80,1,99,06015300,350900,228
7561,28,70,1,99,06013600,341521,870
7364,38,31,1,99,03080600,431021,549
7522,32,60,1,99,05010200,410928,710
2793,24,51,1,99,05011000,320381,133
7375,25,60,1,99,03080600,320900,547
7434,34,80,1,99,06013600,341226,600
6735,29,80,1,9,06012500,533023,458
7379,43,31,1,99,03080600,430481,549
7418,42,70,1,99,03050800,341521,629
6037,0,80,1,99,06012500,350600,756
7445,42,70,1,99,06090104,341222,448
7359,43,70,1,9,05010200,330921,621
4262,4,80,1,4,06015200,310000,324
6492,10,70,1,99,06012500,440511,128
7233,27,70,1,99,03080400,450421,480
2798,7,10,1,9,03041100,330702,760
6639,11,70,1,9,03060700,360281,235
6595,0,42,1,99,06015300,310120,367
7426,26,30,1,99,05010300,330522,246
6846,4,30,1,99,05010300,310225,456
7570,26,21,1,99,03080300,361122,734
7367,41,39,1,99,03080600,422801,549
7357,34,42,1,99,06013600,310115,355
7478,42,70,1,99,05010800,97,363
7414,26,70,1,99,05010300,330227,875
6019,24,70,1,99,06080101,410622,426
7366,38,39,1,99,03080600,422825,549
7237,31,70,1,99,05010200,310120,251
2814,18,70,1,99,05010300,310120,18
7345,41,39,1,99,03080600,320583,549
6521,18,60,8,99,05010300,452728,779
7217,31,70,1,99,03080400,431025,480
6388,10,80,1,9,03070301,431100,476
7234,31,90,1,99,05010200,452226,809
7341,41,30,1,99,03080600,371322,549
7415,36,70,1,99,06013600,622600,236
4682,7,70,1,99,03041100,310120,165
7373,36,60,1,99,03080600,320902,547
7276,26,31,1,99,06015300,310120,367
7279,28,30,1,99,06015300,340826,611
7085,37,70,1,99,06080101,530627,338
7348,34,70,1,99,05010400,511922,12
7444,42,70,1,99,06015300,310230,748
6727,0,70,1,99,03080600,340800,221
7144,39,70,1,99,06021400,433130,174
7416,26,30,1,99,06013600,310120,336
