id,room,education,nationality,occupation,cause,hometown,record
7487,15,69,1,9,05010300,421100,24
6318,13,79,1,99,06090500,320682,185
7020,3,21,1,99,05010300,450325,58
6844,2,70,1,99,03070200,350722,4
7426,15,79,3,99,05010300,411025,238
5628,3,80,1,99,05010300,442000,210
3243,0,89,1,9,03020600,371326,38
4234,5,31,1,9,05010300,342623,140
4277,10,70,1,3,03080400,411527,209
4331,3,70,1,99,03020000,510000,232
3504,5,20,1,99,05010300,440800,233
6040,4,30,1,3,05010300,510923,20
3937,4,70,1,9,03050100,220182,239
4505,6,30,1,9,05010300,310101,217
6825,8,41,1,99,05010300,350500,189
3622,10,60,1,2,03041100,310000,138
3433,11,70,1,8,05010300,310113,230
6492,6,31,1,3,03041100,341225,134
7111,8,70,1,99,05010300,450600,24
4545,11,30,1,99,05010300,341500,48
6992,7,21,1,99,05010300,321023,30
2636,9,30,1,3,05010300,430981,182
6442,9,79,1,9,06090105,410324,191
5051,10,30,1,3,05010800,310115,54
5755,10,30,1,99,05010200,320800,125
7288,12,70,1,99,03041100,511722,55
6691,9,20,1,3,05010200,220284,132
5457,9,70,1,99,05010300,500000,6
6280,11,69,1,9,06090105,511321,219
4823,10,20,1,1,03060600,431126,243
6304,9,89,1,99,05010200,411426,133
5837,5,20,1,99,03041100,320322,126
3265,7,20,1,2,05010700,362302,166
3533,9,20,10,9,06080101,222424,16
5135,5,70,1,99,06080200,320826,59
7339,12,20,1,3,03031000,321100,212
6656,1,49,1,99,05010300,410181,44
4243,8,30,1,3,05010300,341300,90
7052,6,90,1,99,05010200,321200,119
4766,7,70,1,99,05010200,440582,29
6595,5,20,1,99,03041100,310109,134
5725,7,80,1,99,03070200,445200,248
6686,2,80,1,9,06080303,231200,172
5786,11,61,5,99,05010200,654223,203
5394,10,90,1,99,03080600,341226,25
2720,11,30,1,9,03041100,330901,28
7360,12,41,1,9,06090105,450329,222
7138,5,88,1,99,05010300,522631,130
7270,6,70,1,99,06090105,610728,222
7232,12,79,1,99,06080303,410423,241
6713,0,30,1,9,05010200,321323,45
5016,4,40,1,99,03041100,310101,91
4241,6,69,1,9,05010300,410000,124
6922,3,60,1,8,06014504,330000,147
6708,6,79,13,99,06090500,430000,139
6479,5,20,1,9,03041100,320600,134
6812,7,60,1,99,03020000,710000,11
7261,7,69,1,99,06090105,410326,120
7475,15,60,1,3,05010300,610102,71
6778,14,79,1,99,06012500,429005,79
6456,0,79,1,9,06090105,360727,32
7137,0,20,1,99,05010200,120102,104
5138,1,11,1,2,03041100,310112,136
6805,4,70,1,99,06090500,500112,15
6094,11,70,1,9,06090105,530000,81
7037,8,30,1,2,03041100,310109,234
4813,10,60,1,3,03080400,420000,26
6137,10,30,1,3,05010200,460100,156
2074,9,20,1,2,03041100,310000,170
2054,4,20,1,3,03041100,310113,116
5380,15,30,1,9,03041100,532522,103
7231,8,80,1,99,06080303,510100,241
4867,10,41,1,99,06070200,310109,63
5844,5,20,1,9,05010300,513225,82
7548,13,70,1,9,05010300,511024,123
7225,2,79,1,99,06090105,530600,76
7611,13,79,1,99,06090105,220182,236
6629,11,70,1,99,06010100,321321,145
6697,11,40,1,9,05010200,320921,221
6454,11,90,1,99,06090500,431028,226
7221,1,30,1,9,06070102,310115,97
1260,10,31,1,99,03060600,360000,70
7190,2,80,5,9,05010200,653123,80
6186,1,80,1,9,05010300,320500,198
4288,4,30,1,2,05010300,341022,140
2038,0,20,1,3,03020000,320583,46
7447,15,89,1,99,06010100,360400,5
4237,1,69,1,3,05010300,361000,163
5718,3,30,1,99,05010300,440300,143
6574,3,69,1,99,06090105,411100,178
7275,3,70,1,99,05010300,310105,164
2078,7,31,1,3,03080000,320928,35
5392,7,70,1,99,05010300,220700,36
7431,15,20,1,99,03041100,320800,57
