id,room,education,nationality,occupation,cause,hometown,record
6795,23,41,1,9,05010300,520100,760
6203,35,70,1,99,05010300,361030,28
6640,2,60,1,9,05010300,360822,578
6181,33,20,1,99,03041100,511000,646
7444,38,79,1,99,05010300,450900,194
6494,35,70,1,9,03041100,310115,457
6881,2,78,1,99,05010200,410527,163
5384,1,70,1,9,05010300,341800,592
6544,4,80,1,99,06015300,371400,642
7066,24,31,1,99,05010300,142727,631
7274,35,80,1,99,06010100,340824,476
4603,25,80,1,99,03020000,330921,514
6624,2,41,1,3,03070500,440881,288
7298,30,70,1,9,02011500,341400,562
5943,11,80,1,99,05010200,411424,658
6208,21,70,1,9,05010300,360730,679
5552,14,41,1,99,03010101,340123,732
3273,3,30,1,99,03020000,310115,667
7147,11,20,11,6,02014700,120102,619
5246,3,60,1,9,03070500,410800,705
7191,22,70,1,9,05010300,610327,90
6672,1,30,1,99,05010300,350100,508
6093,6,41,1,9,04010100,310105,761
6546,6,80,1,99,06015200,370100,642
5953,3,60,1,9,05010300,310000,260
6918,5,70,1,99,03021201,371300,556
3497,26,60,1,99,03041100,310104,709
6953,20,60,1,9,05010300,430600,610
4516,25,90,1,99,05010300,340121,738
1830,6,30,1,2,03041100,310115,148
7024,25,30,1,9,05010300,310115,690
5859,6,80,1,99,05010200,441225,426
5861,21,80,1,99,05010200,441225,565
6526,23,30,1,9,06012500,500232,622
6529,6,80,1,99,05010200,310107,180
4068,2,21,1,99,03020000,441302,458
3219,24,20,1,9,03041100,321282,289
6609,24,70,1,3,03070600,331082,288
4269,29,70,1,99,05010300,362500,664
6375,25,42,1,99,06015300,610400,96
1984,29,20,10,99,03080000,370600,367
7047,0,30,1,99,05010300,511381,740
7175,23,70,1,99,05010300,441600,519
1941,20,30,1,99,03080000,370902,638
7240,24,20,1,99,03020000,320401,373
7295,27,80,1,9,02011500,340123,562
7374,18,70,1,2,03070200,330109,216
4987,12,42,1,99,03070200,441821,366
4681,26,20,1,99,03080400,310101,361
6486,30,41,1,99,03041100,310112,457
7348,23,41,1,9,05010300,130521,521
6187,27,70,1,9,05010300,320500,731
4591,24,30,1,9,05010300,220100,351
7291,28,20,1,99,06012500,350700,672
7011,30,70,1,9,06010100,411426,69
5690,33,20,1,99,03041100,310110,614
6684,24,80,1,99,06015300,371081,688
7039,28,70,1,9,03070200,330127,140
6232,24,70,1,99,05010300,360700,411
5234,25,30,1,9,03041100,412728,430
1778,26,70,1,99,03020000,320583,188
2509,29,20,1,99,05010300,230200,113
2642,31,70,1,99,03020000,330900,758
4493,33,41,1,99,05010300,310106,262
5170,29,41,1,9,06015300,310115,598
6771,34,70,1,9,06015200,310105,249
5205,31,41,1,99,05010300,330881,127
6675,5,70,1,99,05010200,420324,273
4942,30,30,1,99,05010300,321284,38
4298,32,20,1,99,05010300,361000,469
5591,5,20,1,2,03041100,520100,609
7577,17,30,1,2,02014700,310112,158
6207,29,21,1,99,05010300,361000,95
6377,14,49,1,99,05010300,421200,512
6481,20,20,1,3,03041100,310000,457
7192,22,90,1,9,05010200,310105,535
6996,29,79,1,9,03070200,350181,583
4094,27,70,1,9,05010300,220500,515
4953,8,41,1,99,05010700,310109,5
6676,29,80,1,99,06015300,371081,688
7584,39,30,1,9,05010300,421000,9
6593,10,70,1,99,05010200,430100,641
1942,13,60,1,99,03041100,310101,299
6212,28,70,1,99,06070103,350582,607
7162,33,60,1,9,05010300,511700,461
6013,8,30,8,9,05010300,452623,82
5271,11,70,1,9,05010300,411528,93
7368,8,62,1,99,06013600,310107,46
2425,10,70,1,99,03050100,220182,723
5831,13,60,1,3,03080600,350424,620
7512,15,70,1,99,05010300,430400,71
6655,9,70,1,99,05010300,350322,149
3688,10,80,1,9,05010300,411527,27
5582,12,70,1,9,04010900,370881,569
1850,10,20,1,2,03041100,370100,293
7517,16,70,1,99,05010300,321088,71
5944,14,60,1,99,05010200,411424,89
6421,20,70,1,9,05010300,430781,109
6475,28,20,1,9,03060600,340122,360
6506,29,70,1,99,05010300,130100,632
7262,25,80,1,9,03020000,330304,382
7199,10,60,1,9,02014700,310113,31
6382,10,70,1,99,06090105,500382,147
7433,16,11,1,99,06013600,310105,128
6649,17,61,1,2,03041100,330800,644
7285,18,70,1,9,03070200,321281,135
7277,18,41,1,9,06012500,511525,756
2627,11,70,1,99,05010300,411500,563
4169,14,41,1,9,06013600,310105,55
6425,11,70,1,9,06090104,362202,415
7362,18,70,1,99,05010300,441500,179
5575,14,60,1,3,05010300,340421,57
4928,17,31,1,9,05010300,310104,499
7459,38,41,8,9,05010300,450122,71
7462,15,30,1,9,05010300,120112,71
7610,17,70,1,2,05010300,500235,71
7389,38,80,1,99,05010200,320922,517
7429,38,49,1,9,03070200,350426,323
7419,37,60,15,99,05010200,420528,247
7206,10,10,1,99,02014700,320723,400
6661,1,60,1,99,03041100,510108,175
7144,10,40,97,9,02014700,310105,441
7189,33,70,1,9,05010300,430521,417
6711,28,20,1,9,06012500,421182,252
6580,8,30,1,99,05010300,331023,618
6703,1,61,1,99,03010604,321322,549
6357,13,70,1,9,05010200,500107,668
4433,1,10,1,99,05010300,511621,60
4581,1,20,1,6,03050100,310000,176
4734,27,30,1,9,05010300,220100,746
4789,1,70,1,9,03010100,445281,734
6794,1,70,1,99,05010300,520121,760
4713,3,70,1,99,05010300,321023,365
6632,5,61,1,6,03070600,810000,85
6983,5,20,1,99,03080600,310115,118
6590,8,30,1,9,05010300,141000,631
7421,37,89,1,99,05010300,350700,126
6804,3,70,1,9,06012500,140311,336
7179,0,70,1,9,06012500,360921,52
4547,28,20,1,99,05010300,310107,388
6988,28,70,1,9,03080600,341226,118
2254,1,30,1,9,03020000,320100,188
6435,30,20,1,99,05010700,360100,172
7050,33,70,1,99,03070200,440500,460
7579,17,70,1,99,02014700,341621,342
6386,4,80,1,9,03041100,371500,285
7490,37,70,1,99,05010300,522400,71
6958,24,20,1,99,05010300,510100,516
5813,35,80,1,99,06080303,411528,23
4778,4,10,1,99,03041100,321200,430
6091,21,30,1,9,03021201,310105,741
7493,16,70,1,99,05010300,445100,71
2953,0,30,1,3,03080600,310000,350
6939,2,89,1,99,03021201,330922,529
6979,6,30,1,99,05010300,342623,118
6514,7,71,1,99,05010300,130100,691
4225,1,70,1,9,05010300,342601,427
6743,7,70,1,9,06015200,341221,249
6302,1,70,1,9,05010300,710000,82
6502,6,70,1,9,03070200,412724,129
6276,3,30,1,3,05010300,310115,291
6865,28,20,1,99,03041100,310109,601
6683,22,70,1,99,05010300,420100,61
5519,29,60,1,99,05011000,110105,546
6552,3,60,1,9,06015200,421000,642
7335,26,70,1,9,03070200,522722,301
6224,3,49,1,99,05010300,360725,28
6833,21,60,1,99,06015300,330600,471
6584,4,60,1,99,03070200,441283,25
4611,20,60,1,9,03041100,340200,306
6469,25,31,1,99,05010400,320922,498
6821,15,70,1,2,06012500,330102,640
6349,24,80,1,9,06012500,430300,160
6759,5,71,1,99,05010300,360781,14
6082,26,21,1,99,03020000,410726,588
7332,27,60,1,9,03041100,610527,574
7300,34,70,1,99,02011500,341400,562
2205,22,21,1,3,03020000,440300,507
5536,27,70,1,9,06015200,211300,726
5921,27,70,1,99,05010300,511600,221
5352,28,60,1,9,05010300,310109,584
7220,22,41,8,9,06090500,450122,532
5461,29,70,1,99,03010102,371300,695
5373,13,70,1,9,05010300,360681,197
6848,10,70,1,8,06010100,310107,655
6206,30,30,1,99,05010300,361021,694
5553,11,70,1,99,03010101,341281,732
4872,0,70,1,99,05010300,500228,558
7062,1,21,1,2,03020000,460027,551
6895,23,40,1,7,05010300,620100,153
7406,9,30,1,2,02014700,310115,719
7350,21,79,1,99,06010100,360822,84
6641,10,70,1,9,05010200,310104,554
7309,25,81,1,99,06012500,220182,544
6567,3,80,1,99,03070200,341300,357
6994,2,80,1,9,05010300,230123,257
6163,26,30,1,99,06012400,130182,36
5851,29,71,1,99,05010300,310105,122
5608,11,70,1,9,03041100,430500,627
6721,35,70,1,9,05010300,340200,635
7515,37,30,1,99,05010300,451200,71
6634,6,30,1,99,03070600,330900,288
6929,6,49,1,6,03080600,440308,444
6258,13,31,1,6,05010300,320683,154
6507,29,21,1,99,05010300,330881,618
7542,17,70,1,9,06012500,411081,104
6798,34,70,1,9,05010300,520121,760
6228,1,79,1,99,05010300,360730,340
6551,20,41,1,99,06015200,510700,642
6818,23,41,1,9,06012500,341000,217
5239,22,70,1,9,03070500,511324,2
5995,5,20,1,99,08010100,420900,713
5763,10,31,1,9,05010300,350426,656
7035,33,20,1,99,03041100,310101,485
7399,33,30,1,9,06090300,429004,195
3125,9,60,1,8,06020500,310110,585
5969,13,80,1,99,05010300,500225,431
6359,11,70,1,6,04010300,321281,552
1192,13,60,1,99,05010300,310000,65
5254,13,80,1,99,05010300,440823,757
1855,13,30,1,2,03041100,330281,445
6513,8,60,1,9,05010300,130100,691
7408,9,30,1,6,02014700,510922,310
6854,11,80,13,99,05010200,310107,337
6138,23,21,1,99,03031000,230000,97
6005,11,70,1,9,05010300,500000,637
5269,14,61,1,9,05010300,411528,45
7030,27,70,1,99,04010300,320800,199
5334,14,79,1,99,03080400,342530,689
7504,15,70,1,99,05010300,450000,71
6310,2,70,1,9,05010200,310109,421
6417,27,80,1,9,05010300,412826,622
6998,20,70,1,9,03070200,440500,720
5593,11,70,1,99,04010900,320305,334
7564,39,70,1,9,06015300,310105,232
4096,35,79,1,99,05010300,230500,465
7480,16,80,1,99,05010300,520100,71
6254,12,80,1,99,05010200,511500,102
6294,18,60,1,9,06015300,341300,557
7585,39,11,1,99,06012500,341000,511
6459,25,70,1,9,05010300,230126,82
7205,14,80,1,6,02014700,320382,759
7551,39,70,1,9,06015300,310105,232
6501,32,60,1,9,06020500,310105,733
6892,2,30,1,99,05010300,341300,571
4529,13,40,1,99,05010300,310109,381
7180,30,71,1,99,05010300,360900,52
6699,33,40,1,99,06010100,370400,226
7511,39,70,1,99,05010300,511028,71
6518,5,70,1,99,05010300,130100,691
5780,14,89,6,9,05010200,433126,602
7148,20,60,1,99,05010300,340800,291
6756,2,70,1,99,05010300,142423,336
5914,3,79,1,99,03021201,330100,493
7473,15,41,1,9,05010300,620102,71
7513,15,70,1,99,05010300,522401,71
6659,0,60,1,9,03041100,510108,175
6573,10,30,1,9,05010200,610523,466
7321,38,80,1,99,06015300,350600,0
5285,25,20,1,3,05010300,321322,522
5644,4,20,1,99,03041100,310113,332
7276,0,60,1,3,05010300,511525,756
7195,3,30,15,9,03041100,422800,200
6742,4,30,1,9,06090104,500231,105
6229,9,20,1,9,05010300,360700,764
4733,6,79,1,99,03020000,340223,8
6882,20,70,1,99,05010300,440229,280
2949,6,20,1,9,03080600,310000,91
4788,2,70,1,9,03010100,411522,734
5293,20,70,1,9,03041100,372926,430
7108,6,60,1,3,05010300,513000,71
4491,22,70,1,99,05010300,310106,262
7271,25,60,1,99,06090105,430981,404
5010,12,80,1,99,06015200,511425,428
4652,2,70,1,5,05010300,340500,76
5674,6,70,1,9,06015300,420902,322
6372,24,42,1,99,06015300,310115,577
2445,24,70,1,9,05010300,360203,275
5881,28,70,1,99,03070200,412725,624
6757,4,70,1,99,05010300,350800,244
6782,28,40,11,9,05010300,130827,185
7056,24,70,1,9,05010300,350583,331
3963,29,81,1,9,03041100,330000,596
7223,33,80,1,99,05010200,530600,660
6547,23,70,1,99,06015300,371400,446
6205,20,70,1,99,05010300,360730,28
6720,25,30,1,9,05010300,332525,82
5248,21,41,1,99,03070500,441323,439
5980,23,70,1,99,05010300,360731,606
6907,6,70,1,99,05010300,440229,280
6215,22,60,1,99,05010300,431003,764
4605,28,90,1,9,03020000,330921,514
6654,23,70,1,99,05010300,410181,178
7146,12,30,1,6,02014700,310116,94
7198,10,20,1,6,02014700,321088,680
6461,21,70,1,9,05010300,411528,82
7005,11,70,1,9,02014700,310112,721
6305,0,80,1,9,06012500,340825,101
6370,7,80,1,99,05010300,230200,121
6975,23,60,1,9,03080600,610431,118
6693,24,70,1,9,06015200,310105,249
5470,26,70,1,99,05010300,341300,481
6100,14,31,1,99,03020000,330382,237
7393,38,70,1,9,05010100,511321,146
6503,5,70,1,99,06012500,130927,112
7053,23,41,1,99,06015300,350200,464
6420,24,41,1,9,05010300,360900,109
1362,10,20,1,99,05010300,310000,48
7000,32,60,1,9,04010300,511502,292
4492,34,70,1,99,05010300,320621,262
7578,17,70,1,99,05010300,411623,347
7264,16,70,1,9,03021201,330300,453
7506,39,70,1,99,05010300,450000,71
6292,8,70,1,9,06015300,350722,308
7184,29,80,1,99,05010200,340421,633
6081,14,71,1,99,05010200,350722,451
5208,31,30,1,99,03070500,410185,171
6423,2,70,1,6,05010300,362201,109
7509,39,61,1,99,05010300,420500,71
7432,38,70,1,9,05010200,120225,653
6588,7,70,1,99,05010200,310101,283
2293,9,29,1,99,03020600,440781,278
2927,0,60,1,99,03080400,310107,374
6692,33,41,1,99,04010901,460027,304
6630,0,70,1,99,03070500,445381,288
6230,5,60,1,99,05010300,360700,764
6099,13,71,1,99,03020000,330382,237
6860,4,70,1,9,06012500,431025,402
6368,21,30,1,99,06015300,310114,491
885,12,70,1,9,03041100,321284,525
2950,4,11,1,2,03080600,310000,449
6665,4,30,1,99,05010300,341300,492
6663,22,70,1,99,05010300,431000,220
6869,4,70,1,9,06012500,211103,203
6260,12,80,1,9,05010200,320800,387
5771,12,70,1,99,05010200,310107,669
6650,4,70,1,9,05010300,340825,386
6341,24,61,1,99,05010300,500101,82
6986,7,30,1,99,03080600,622925,118
5757,6,69,1,99,05010300,360681,319
5749,22,70,1,99,05010300,350722,355
7608,36,80,1,9,05010300,452427,296
7227,26,70,1,99,03070200,430500,26
6032,27,20,1,99,05010300,310115,50
4335,20,80,1,99,03020000,340223,500
2249,1,20,1,2,03041100,320585,445
4299,23,70,19,99,05010300,362500,15
5292,23,60,1,99,03041100,411721,430
6776,27,41,1,99,05010300,350800,573
6301,4,80,1,99,05010300,341621,66
7209,20,89,1,99,05010200,411400,750
7479,15,71,1,9,05010300,522400,71
6791,5,60,1,6,03010102,500223,37
7218,21,68,1,9,05010300,445122,30
6200,33,70,1,99,05010300,361030,368
4270,24,71,1,99,05010300,362500,338
5061,10,60,1,99,06060703,350181,736
6999,18,70,1,9,03070200,440500,720
6803,15,70,1,3,05010100,411522,369
3455,8,70,1,2,03020000,500383,505
7415,37,70,1,9,02014700,341521,730
4937,20,41,1,99,06015200,310107,297
7307,29,60,1,9,03070200,430521,117
7258,6,70,1,99,03070200,411728,591
3665,12,30,1,2,03041100,310104,174
4732,34,70,1,9,03020000,340200,603
7299,33,90,1,99,02011500,340200,562
7376,18,70,1,9,03070200,430524,216
6512,4,70,1,9,05010300,130100,691
6358,5,70,1,6,05010300,140800,631
7588,17,30,1,2,06012500,341400,511
7073,2,70,1,99,03070200,441622,663
7319,18,71,1,99,06015300,341300,0
4585,5,79,1,9,05010300,320412,3
7361,19,90,1,9,05010300,130700,676
6227,0,41,1,99,05010300,360730,28
6543,7,60,1,9,06015300,220284,192
6681,6,49,1,99,06015300,371000,688
5562,3,71,1,9,03041100,320982,424
4799,2,70,1,99,03060600,445122,376
6348,7,70,1,9,06012200,445100,566
5677,33,70,1,9,06015300,431121,243
6747,24,49,1,99,05010300,310230,345
3082,12,70,2,9,03050100,331000,303
5484,14,70,1,9,05010300,320724,263
6406,12,71,1,99,05010200,340200,553
7520,15,60,1,9,05010300,360726,71
4698,13,30,1,99,05010300,310108,702
6282,12,90,3,9,05010200,611000,4
4706,1,60,1,9,03070200,330000,258
7502,15,71,1,99,05010300,451100,71
7242,1,70,1,9,03021201,321281,673
7570,36,62,1,99,05010300,340521,559
6373,8,41,1,99,06015300,610429,491
2632,13,40,1,99,05010300,430981,40
7571,36,70,1,99,05010300,350802,347
7606,36,60,1,9,05010300,362532,71
5908,22,70,1,99,05010300,341300,481
7478,15,70,1,9,05010300,522400,71
7449,37,60,1,99,05010300,430923,71
7440,37,69,1,99,03070200,440801,712
6796,12,62,1,9,06012400,520100,130
6467,25,89,1,99,05010300,350100,294
6585,0,30,1,99,03070200,441283,25
6901,1,41,1,9,05010200,310105,467
7302,23,70,1,9,02011500,341622,562
6773,28,70,1,9,06015200,310105,249
7278,31,41,1,99,05010300,321322,754
4481,4,80,1,9,06070000,411722,99
4267,21,70,1,99,03080400,431281,651
7212,25,60,1,99,03070200,150526,245
5756,4,30,1,9,05010300,361126,696
6662,34,70,1,99,03041100,511722,175
6982,28,80,1,9,06070102,310107,686
6424,15,80,1,9,03070200,232303,238
7596,36,80,8,9,05010300,452224,187
6255,12,70,1,99,05010300,340406,181
6293,1,60,1,99,06015300,350122,308
6344,22,41,1,99,05010300,410825,178
6495,9,61,1,9,03041100,310105,457
7203,11,30,1,99,02014700,130503,717
4332,25,80,1,99,03020000,321000,167
7306,26,80,1,99,05010300,410926,753
5977,28,70,1,99,05010300,445122,599
7575,17,60,1,2,02014700,410621,251
7607,17,80,1,9,05010300,452427,296
7064,17,30,1,99,03041100,513822,175
1923,25,70,1,99,03041100,352230,166
7568,36,41,1,99,05010300,231282,698
7491,37,70,1,99,05010300,522400,71
4257,8,61,1,9,03080400,350000,427
6664,7,80,1,9,06012500,350121,312
7484,37,70,1,99,05010300,522400,71
6352,31,41,1,99,05010300,440823,764
6023,32,70,1,99,04010300,310105,324
4258,33,80,1,99,05010300,410000,595
6594,6,80,1,9,05010200,320721,354
6935,0,30,1,99,03041100,362421,718
4151,28,20,1,2,05010300,510503,318
7230,33,30,1,6,05010300,310107,385
6788,4,70,1,9,05010200,320684,43
6984,4,20,1,99,05010300,340825,118
7207,32,21,1,1,02014700,310117,371
6505,33,60,1,99,05010300,130102,743
6571,0,70,1,4,06090104,141130,623
6463,23,70,1,9,05010300,110224,540
7581,39,80,1,99,03070200,341324,413
5946,14,40,1,99,05010300,500105,431
6959,27,30,1,9,05010300,511002,516
4095,33,30,1,99,05010300,321081,377
4251,9,30,1,3,05010300,520000,469
5371,12,48,1,99,05010300,360681,197
7045,1,60,1,99,05010300,431124,56
6845,26,80,1,9,03070200,350722,39
6830,20,70,1,9,03070200,440500,212
7075,25,60,1,99,03041100,321300,271
7168,7,20,1,99,06021400,350300,519
1856,2,30,1,9,03050100,330381,435
7452,38,30,1,99,05010300,430400,71
3514,7,30,1,99,03050100,331082,206
7322,38,70,1,99,05010200,520300,270
6643,20,79,1,9,04013200,130429,600
7420,37,60,1,99,05010200,421127,611
5389,21,41,1,99,05010300,320324,110
7547,15,70,1,99,05010200,330326,580
6894,3,70,1,99,06012500,620725,313
7550,39,71,1,99,05010200,310105,34
6542,31,70,1,9,06015300,370100,642
7171,16,70,1,9,03021201,330328,72
6636,32,80,1,3,05011000,520300,53
6185,11,30,1,9,03041100,340000,241
6989,3,30,1,99,03080600,341282,118
6960,22,20,1,99,05010300,510700,516
3925,34,70,1,99,06011900,342626,621
6768,11,60,1,9,05010700,310105,328
7132,4,60,1,9,05010300,350800,227
6077,30,40,1,99,05010300,450502,422
6599,5,80,1,99,06090105,321023,253
5218,6,30,1,99,03070500,320623,173
6651,21,71,1,9,06012400,445200,137
6583,26,70,1,99,05010300,371728,193
6660,2,62,1,99,03041100,511421,175
6831,22,30,1,99,03070200,321081,370
7174,22,20,1,9,05010300,410526,356
6049,12,60,1,99,05010300,370000,152
5883,27,41,1,99,03070200,440583,513
7423,18,20,1,3,05010300,511522,447
7464,38,70,6,99,05010300,430500,71
4337,26,80,1,99,03020000,340222,707
6430,29,70,1,9,03041100,362334,191
5414,15,79,1,99,03041100,340000,250
6510,3,70,1,99,05010300,130131,691
4255,30,70,1,9,05010300,360000,595
6625,4,80,1,99,03070500,431200,288
913,5,30,1,4,04010100,310107,755
7247,30,60,1,99,05010300,411426,356
7308,30,80,1,99,05010300,220182,509
5960,33,71,1,6,03020000,330200,414
6252,3,80,1,99,06021400,140500,533
5651,20,30,1,99,06015300,310113,295
6874,25,70,1,9,05010200,411728,626
7173,25,20,1,99,05010300,411081,356
5167,3,31,1,9,06015300,310107,598
5976,2,70,1,99,05010300,410781,21
7292,35,20,1,9,05010300,320322,63
7323,38,70,1,99,05010300,430400,470
6850,5,40,1,3,06012500,440229,280
7252,22,70,1,99,03021201,321200,539
7033,21,10,1,9,03041100,130302,485
7343,25,80,1,9,05010300,232326,397
6411,23,31,1,99,05010300,320281,125
6789,1,70,1,9,05010300,610800,145
7226,28,20,1,99,03080400,341200,636
7522,39,41,1,9,05010300,360726,71
6891,5,70,1,99,05010300,440100,209
6179,26,30,1,99,05010300,431100,764
6367,7,40,1,99,06015300,310115,268
5728,4,70,1,99,03070200,445200,763
6314,2,70,1,3,03041100,411727,248
7246,3,70,1,6,06090104,510502,643
5209,5,20,1,3,05010300,330881,41
6385,28,70,1,9,06010100,340200,752
3988,21,41,1,9,05010300,310000,593
2870,13,70,1,99,04010300,220182,320
6911,6,60,1,6,03070200,431000,605
6416,20,21,1,9,06012500,231004,252
6762,6,70,1,4,05010300,210922,391
5007,29,80,1,99,05010300,341281,738
6508,23,60,1,99,05010300,130426,691
5533,26,60,1,99,05010300,310105,490
7331,28,41,1,9,05010300,130421,364
7445,16,70,1,99,05010300,130500,71
5169,22,70,1,9,06015300,310115,567
7595,36,70,1,9,03070200,362322,266
6861,26,70,1,3,05010200,360700,745
7451,38,79,1,99,05010300,431200,71
6919,4,70,1,99,03021201,130500,556
6429,27,80,1,9,05010300,320382,204
4602,2,80,1,99,03020000,330921,531
7222,28,70,1,99,03020600,370831,59
6289,8,70,1,9,05010300,320382,751
5309,12,70,1,99,05010300,411528,93
6657,11,70,1,9,05010300,441424,419
6607,10,41,1,9,06015200,310101,224
6557,9,70,1,99,05010300,371100,468
5549,11,80,1,99,03080400,530125,541
5998,14,70,1,99,06080303,421281,274
6263,1,70,1,9,05010300,361022,160
7507,37,70,1,99,05010300,431000,71
6279,6,70,1,3,05010300,360281,438
7069,1,30,1,3,05010300,141001,631
6868,15,70,1,2,06012400,370832,36
6298,8,70,1,9,05010300,341621,66
6333,5,30,8,99,06060704,460100,170
6468,5,80,1,99,05010400,320922,416
6511,24,70,1,9,05010300,130100,691
